Country,Sector,Direct Impact,Indirect Impact,Total Impact,Multiplier Type,Unit of Measure
USA,USA_H49,351826.549,430761.9552,782588.5042,Compensation (USD per million USD output),USD per million USD
USA,USA_H50,238304.5169,33979.31394,272283.8308,Compensation (USD per million USD output),USD per million USD
USA,USA_H51,773903.9468,59699.52504,833603.4718,Compensation (USD per million USD output),USD per million USD
USA,USA_H52,373452.8062,133534.1351,506986.9413,Compensation (USD per million USD output),USD per million USD
USA,USA_H53,847221.3365,75976.57397,923197.9104,Compensation (USD per million USD output),USD per million USD
USA,USA_I,637897.6024,1413444.107,2051341.709,Compensation (USD per million USD output),USD per million USD
USA,USA_J58T60,146155.3616,233674.5261,379829.8877,Compensation (USD per million USD output),USD per million USD
USA,USA_J61,197754.015,201580.955,399334.9701,Compensation (USD per million USD output),USD per million USD
USA,USA_J62_63,203007.1689,253349.8472,456357.0161,Compensation (USD per million USD output),USD per million USD
USA,USA_K,342973.3002,613917.7378,956891.038,Compensation (USD per million USD output),USD per million USD
USA,USA_L,44514.01209,694475.8209,738989.833,Compensation (USD per million USD output),USD per million USD
USA,USA_M,349959.7885,722685.3935,1072645.182,Compensation (USD per million USD output),USD per million USD
USA,USA_N,434001.4011,406572.0397,840573.4408,Compensation (USD per million USD output),USD per million USD
USA,USA_O,827653.8437,1110306.961,1937960.805,Compensation (USD per million USD output),USD per million USD
USA,USA_P,170880.9742,336169.9075,507050.8817,Compensation (USD per million USD output),USD per million USD
USA,USA_Q,660886.9184,652129.0632,1313015.982,Compensation (USD per million USD output),USD per million USD
USA,USA_R,703156.8803,121260.804,824417.6843,Compensation (USD per million USD output),USD per million USD
USA,USA_S,874133.1177,180316.0272,1054449.145,Compensation (USD per million USD output),USD per million USD
USA,USA_T,18307552.64,0,18307552.64,Compensation (USD per million USD output),USD per million USD
USA,USA_A01_02,3.948710636,7.076604315,11.02531495,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_A03,215.3594349,0.923238504,216.2826734,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_B05_06,4.122470349,3.53294283,7.65541318,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_B07_08,14.59975502,1.423732944,16.02348796,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_B09,16.63705271,0.481356329,17.11840904,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C10T12,1.084681755,69.23627471,70.32095646,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C13T15,17.46712687,1.271656082,18.73878295,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C16,8.811100577,2.761974142,11.57307472,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C17_18,4.205695521,3.403943925,7.609639446,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C19,4.498049196,4.580717235,9.078766431,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C20,11.57901124,5.503105906,17.08211714,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C21,3.632927547,1.052086608,4.685014155,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C22,4.600632863,3.166138778,7.766771641,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C23,6.546850572,3.195989686,9.742840258,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C24,5.022745503,5.094645827,10.11739133,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C25,2.978347119,4.175705581,7.1540527,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C26,2.397926848,0.965692616,3.363619464,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C27,8.793427441,1.378558368,10.17198581,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C28,3.119518421,3.279885692,6.399404113,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C29,1.963353612,7.326643743,9.289997356,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C30,4.037827988,1.822296614,5.860124602,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_C31T33,4.027428398,2.475023694,6.502452092,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_D,2.168640419,2.495133941,4.66377436,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_E,8.148425195,1.138625556,9.28705075,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_F,5.953681194,22.68470093,28.63838213,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_G,0.275059979,21.07019106,21.34525103,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_H49,1.750615998,4.48554975,6.236165748,Employment Elasticity (Jobs per million USD output),Jobs per million USD
